region,date,mean,median,lower_90,upper_90,lower_50,upper_50
France,2020-01-22,1.547862223555042,1.5139070452034606,1.10925741927323,1.8981406355042105,1.312698462398008,1.6585030086920725
France,2020-01-23,1.5522860358885224,1.520361832131337,1.1380386135328502,1.9231313203758447,1.2407009278011873,1.5966926376223194
France,2020-01-24,1.562758709101187,1.5223504035205229,1.1036721757400922,1.8990235510605855,1.2667865387595312,1.6181519468283843
France,2020-01-25,1.5694589652163407,1.526131134756344,1.11971959358836,1.9298009546216581,1.2532333564922529,1.616945266106741
France,2020-01-26,1.5851526877337465,1.5434079023352925,1.103894550354272,1.9511488836286925,1.270731917498876,1.6415971841569441
France,2020-01-27,1.5858195136325566,1.542864864604482,1.1078523074447757,1.9435640749102996,1.3444298469976506,1.7099407419345254
France,2020-01-28,1.5950028790069963,1.5466106499209982,1.119703497210356,1.96366645149851,1.2980977816748482,1.6505590211811685
France,2020-01-29,1.5946011272372995,1.5572054430892992,1.1307355387358022,1.9629783855838907,1.3075019251625908,1.660545549914768
France,2020-01-30,1.598935252685614,1.5594649513554324,1.1482931023004204,1.98817781597165,1.3149235131611015,1.6664801495377297
France,2020-01-31,1.6065053466748238,1.5640943374873775,1.1651734548452426,2.0201282258816975,1.3122189757733047,1.6688196320049835
France,2020-02-01,1.6047058423115153,1.5715254922356237,1.1354156178145707,1.977904210795841,1.3298042051814636,1.6842216435707085
France,2020-02-02,1.6047289819453776,1.5700627414061437,1.128210409454186,1.9813914965217803,1.2906386536883692,1.64656036614701
France,2020-02-03,1.5998944424788883,1.5664417697951896,1.1413551809458145,1.9925298467118697,1.389894093504487,1.7341410913156692
France,2020-02-04,1.6089558596082039,1.5761285263752964,1.148293842085018,1.987101604686004,1.3756360818649525,1.711434202944586
France,2020-02-05,1.6078127013404808,1.57794306469233,1.170968551949893,1.9791063455984461,1.3709470187572255,1.6874029627330354
France,2020-02-06,1.6086738627242476,1.576084429177269,1.1677706427560495,1.989886617006149,1.3772139242986656,1.6925607303197736
France,2020-02-07,1.621130286899434,1.5844598725932548,1.1786579248278926,2.0270367589840417,1.38217359898864,1.6991022114440109
France,2020-02-08,1.628391534675879,1.5940123265639057,1.2020754912451808,2.052641159268074,1.4092014083115463,1.7304284089726827
France,2020-02-09,1.6253179640282407,1.5886932320950058,1.1723035499617398,1.9990666758698077,1.3586122640931633,1.6699392976639171
France,2020-02-10,1.6302682454271442,1.6045154172268012,1.175059283489425,2.0007081012078514,1.411494241206268,1.725883566746595
France,2020-02-11,1.6386871410448567,1.6053568137556744,1.2072052180712718,2.0251323299657296,1.3656239314802323,1.6823190978781561
France,2020-02-12,1.6452717829530632,1.6040819286002312,1.209656762766515,2.0533083906147804,1.381140390106525,1.7062115716793236
France,2020-02-13,1.6556053017187333,1.5989142438179726,1.2188466024601505,2.051525769975348,1.4151884639247971,1.7429987700911038
France,2020-02-14,1.6615822670226743,1.5988933645390002,1.204618134872097,2.0418389347200616,1.3586896236955295,1.6852125817227628
France,2020-02-15,1.660670554773647,1.6070980066941178,1.2184617919077005,2.06296885196089,1.4097566411830689,1.7300568171533588
France,2020-02-16,1.6518020141093257,1.5944754421103147,1.2450403043479559,2.076930395686484,1.33663377135642,1.6556642255156067
France,2020-02-17,1.6518211372288925,1.5925308208965572,1.2262853416822967,2.0498398565655678,1.361688543004662,1.674726901733437
France,2020-02-18,1.6663804068254864,1.6338628824339956,1.2341673589437767,2.066621850993977,1.3763281098485425,1.6950057563829108
France,2020-02-19,1.662560800617902,1.608016208727256,1.24986601601391,2.072349078968415,1.354822688854284,1.669929796631941
France,2020-02-20,1.660912549723805,1.6051080533196203,1.2335730271535539,2.0653831390257738,1.3697342274609505,1.6830735165353707
France,2020-02-21,1.659286364784407,1.6079415659485532,1.2397517395821351,2.069042494656038,1.3693576130211815,1.684757737351539
France,2020-02-22,1.6526872008007372,1.6018719120204574,1.236918402019015,2.062751760794688,1.3499234214467124,1.660030374482734
France,2020-02-23,1.6488601321073493,1.5954293269846347,1.2117801289044714,2.033390188392569,1.3653530304523485,1.6772321179122947
France,2020-02-24,1.6482716356517453,1.595466844201387,1.227915795032039,2.0373961385335413,1.3530481391285027,1.6668605051173428
France,2020-02-25,1.6323606997878894,1.6054763561359788,1.2330628833722797,2.011878225219141,1.3874214574153954,1.6836273101254695
France,2020-02-26,1.625137673736785,1.577333112048898,1.2141308686015577,1.9811305218039987,1.352494980598879,1.642294150990371
