country,date,ML,Low_90,High_90
Portugal,2020-04-16,0.7260044270379764,0.5183486676682548,0.9205069014504819
Portugal,2020-04-17,0.6618527382692687,0.4399166099002555,0.905379471240276
Portugal,2020-04-18,0.6074207886018378,0.3652478783954327,0.8788550654674188
Portugal,2020-04-19,0.5427398846199908,0.2500537135091272,0.8259007345790024
Portugal,2020-04-20,0.4717707534994594,0.1617476079063146,0.8028219078983247
Portugal,2020-04-21,0.38243781104381747,0.01563003056424772,0.7631176803508355
Portugal,2020-04-22,0.3106148240991472,-0.07658350338568543,0.7215385905088045
Portugal,2020-04-23,0.21988390870062033,-0.18669989099768336,0.7296728192535422
Portugal,2020-04-24,0.13027426023399974,-0.3746528263002047,0.649822988937947
Portugal,2020-04-25,0.050679456056978295,-0.5171807261209964,0.6326113409624944
Portugal,2020-04-26,-0.0010313790269714104,-0.5723934388433158,0.6259949497012062
Portugal,2020-04-27,-0.0643707592768531,-0.6887835381871048,0.6283249440035281
Portugal,2020-04-28,-0.10990589445216106,-0.7766224528949475,0.6124735374074202
Portugal,2020-04-29,-0.13849197750233755,-0.8004065833483787,0.6500410085413157
Portugal,2020-04-30,-0.1371718895929505,-0.853876681110987,0.6284120872701641
Portugal,2020-05-01,-0.13622361029738886,-0.8691314280037212,0.6694250940927403
Romania,2020-03-12,1.438365259828682,1.0639267727400517,1.801401089857097
Romania,2020-03-13,1.438065908973567,1.0726520883355786,1.7810281728491786
Romania,2020-03-14,1.4300234688547886,1.0783539610845725,1.766699945965104
Romania,2020-03-15,1.4208937146080305,1.080074841217509,1.764321991769969
Romania,2020-03-16,1.402563951996268,1.0601608963541802,1.70233390734898
Romania,2020-03-17,1.3857746975018321,1.0757351088612908,1.6910307727105223
Romania,2020-03-18,1.3584231412563943,1.0777311514061112,1.6416955737368892
Romania,2020-03-19,1.3324768010185633,1.0520357257239545,1.603543380484636
Romania,2020-03-20,1.3043788300792605,1.0350996683106746,1.5677715487837636
Romania,2020-03-21,1.2726132102498966,1.0187114984090753,1.506833151597791
Romania,2020-03-22,1.2395280420672616,1.0216870513907568,1.4930188208465276
Romania,2020-03-23,1.2148419416641165,1.0031754752498483,1.4536783844849952
Romania,2020-03-24,1.1908117539126026,0.9848590237935918,1.4122408101491364
Romania,2020-03-25,1.162872993625699,0.9722705362959726,1.3643037553477084
Romania,2020-03-26,1.1364759030693619,0.9197580498036441,1.3279760869922892
Romania,2020-03-27,1.1169792320792804,0.9443809868279107,1.3363394641694502
Romania,2020-03-28,1.1036902712876988,0.9189567813170471,1.2727585156917125
Romania,2020-03-29,1.086816061522,0.9005169647666259,1.257517655526123
Romania,2020-03-30,1.0652727912562274,0.9002344253509146,1.2392949142499061
Romania,2020-03-31,1.051223970529219,0.8770222492819278,1.2028314420875803
Romania,2020-04-01,1.0356546515449951,0.8727357256213194,1.2196520204619472
Romania,2020-04-02,1.0140544412199368,0.8515336675573072,1.1614216172126506
Romania,2020-04-03,1.0103608008211808,0.8660524933101534,1.1848221926213474
Romania,2020-04-04,1.0069011724567138,0.8468987522167513,1.169969040312214
Romania,2020-04-05,1.0004654693736479,0.8241894385942274,1.1592532309054175
Romania,2020-04-06,0.9801709272250404,0.7893058714046652,1.1295454703600696
Romania,2020-04-07,0.965906605423464,0.8014991915420826,1.1332079037620044
Romania,2020-04-08,0.952686652681923,0.7912235286386237,1.1314152544146845
Romania,2020-04-09,0.9423948122182271,0.7864289452620792,1.13552464926224
Romania,2020-04-10,0.9263886988473617,0.7403552017458741,1.085473143674863
Romania,2020-04-11,0.9198513005538282,0.7458012888662215,1.093079661304389
Romania,2020-04-12,0.9077563100033614,0.7204918564023874,1.0871891358423456
Romania,2020-04-13,0.8836370555182294,0.7034786502355074,1.0801869655146739
Romania,2020-04-14,0.8490854563779894,0.6410256981449052,1.0529891498896882
Romania,2020-04-15,0.8176778968063478,0.617776852613827,1.0372245676512106
Romania,2020-04-16,0.7921953622068374,0.5533118960989535,0.9958147977883671
Romania,2020-04-17,0.755920309695387,0.53156104890449,1.008613544975321
Romania,2020-04-18,0.7081593061392502,0.4762918764949787,0.9774087267253726
Romania,2020-04-19,0.6459970850720812,0.36708723929846776,0.9504160460524056
Romania,2020-04-20,0.5626670597906522,0.22874346875884644,0.9075344178271645
Romania,2020-04-21,0.4505250289195185,0.038625204960751613,0.8332471681346632
Romania,2020-04-22,0.36483221699687307,-0.06155736010180268,0.8459238210950373
Romania,2020-04-23,0.2684663265206701,-0.17525129961640928,0.8107762871183656
Romania,2020-04-24,0.16161049145120265,-0.3881902168150453,0.773885557440121
Romania,2020-04-25,0.034323942530908085,-0.6191858890106385,0.7424128895532451
Romania,2020-04-26,-0.06492250282761809,-0.8266341650444977,0.658287741261053
Romania,2020-04-27,-0.15253744786255946,-0.9539772005427394,0.6858314658702306
Romania,2020-04-28,-0.20591881159139608,-1.0286373273738318,0.6925685095693828
Romania,2020-04-29,-0.22810114528696174,-1.0534931045781128,0.7381493067662693
Romania,2020-04-30,-0.2264832720784156,-1.1524428878034483,0.6627429730053783
Romania,2020-05-01,-0.22658139295791932,-1.0988798340847232,0.7337122735479877
Russia,2020-03-12,1.5825767211011559,1.1277461579831787,2.068327362902238
Russia,2020-03-13,1.56054034802586,1.119555865878756,1.9683350261406676
Russia,2020-03-14,1.5738151621436591,1.111235717026678,1.9698247276152308
Russia,2020-03-15,1.5931438572696428,1.1996456704021075,2.060303233826548
Russia,2020-03-16,1.5733944048476998,1.1360562928866447,1.962478638795428
Russia,2020-03-17,1.5740997271172081,1.1550295963571435,1.9967918197395669
Russia,2020-03-18,1.575261129546901,1.166380339994942,1.980350444841209
Russia,2020-03-19,1.5819623470050812,1.1578883612355657,1.9736494416275543
Russia,2020-03-20,1.5689084840349683,1.1671387397963469,1.977140148768965
Russia,2020-03-21,1.563128606272585,1.1852412845423135,1.9564198510074513
Russia,2020-03-22,1.5318073003438606,1.138721953292093,1.8652032403364618
Russia,2020-03-23,1.5340619722610158,1.1546103240085137,1.8766574158448832
Russia,2020-03-24,1.506115269533124,1.136030416032834,1.8529948375772873
Russia,2020-03-25,1.4987496908203872,1.1262311472636808,1.8177480337936127
Russia,2020-03-26,1.4990772492518285,1.1742704944137952,1.8385519878717536
Russia,2020-03-27,1.4875273654488075,1.1613152406323457,1.8095165336634256
Russia,2020-03-28,1.478548623657386,1.1245359250910065,1.7645679055076222
Russia,2020-03-29,1.472440111220557,1.1620827670167226,1.7821914629555868
Russia,2020-03-30,1.4666966026204629,1.141885991584549,1.7613712267628867
Russia,2020-03-31,1.462292525841927,1.1427228327993377,1.7368684751202754
Russia,2020-04-01,1.4502729343101317,1.136708474775073,1.727935871193508
Russia,2020-04-02,1.4328106595459227,1.164843949906356,1.7272518026372872
Russia,2020-04-03,1.4442538057651826,1.1403901418106512,1.7215487092455133
Russia,2020-04-04,1.3968026145019712,1.1324003199589585,1.6522772424751113
Russia,2020-04-05,1.3690459753030224,1.1181702994570364,1.6123306863460192
Russia,2020-04-06,1.3450975060685482,1.1118120483711782,1.561378293450378
Russia,2020-04-07,1.325400816349279,1.11252447270265,1.5402646340058417
Russia,2020-04-08,1.3054552026293507,1.0955692890243547,1.512576931833845
Russia,2020-04-09,1.2610816756341454,1.0761431198238647,1.4426314701599363
Russia,2020-04-10,1.208067722379592,1.0598663232201575,1.3597469480708098
Russia,2020-04-11,1.1918202634750321,1.0463307121941512,1.3357568194766158
Russia,2020-04-12,1.1575358486658593,1.0240703852291608,1.2830290571440923
Russia,2020-04-13,1.0793952420203874,0.9914625380169642,1.1894223885561093
Russia,2020-04-14,1.0544003191880738,0.9636560313916733,1.1455199473030973
Russia,2020-04-15,1.0154013336845136,0.9290184903093113,1.103858579161911
Russia,2020-04-16,0.9560101748971032,0.872311126846366,1.039767381503447
Russia,2020-04-17,0.8820186815017746,0.7613191647014841,0.9849285500838968
Russia,2020-04-18,0.8271099002065396,0.7021681988119484,0.9536581221999425
Russia,2020-04-19,0.7927101723098785,0.6579822312912855,0.9667391022055651
Russia,2020-04-20,0.7011735966990369,0.5158142625832126,0.9195023418008352
Russia,2020-04-21,0.5532431438613064,0.2750032789121887,0.8626772195484186
Russia,2020-04-22,0.491517138543636,0.15673060561880003,0.8126580802534658
Russia,2020-04-23,0.37552888815122987,0.009963517811580225,0.8158943813193943
Russia,2020-04-24,0.2044053177451211,-0.2716032229474976,0.7482304742819931
Russia,2020-04-25,-0.16236375207424988,-0.8412607448062099,0.625494256864052
Russia,2020-04-26,-0.3043614430088452,-1.0607283503039522,0.5733111697077218
Russia,2020-04-27,-0.952125171035381,-2.1377903341910818,0.32959276817579297
Russia,2020-04-28,-1.903162249197607,-3.6714836166463503,0.009981484121388773
Russia,2020-04-29,-5.340274244668575,-9.209595363028654,-1.067429755198547
Russia,2020-04-30,-5.311341490630795,-9.063206362766504,-1.0410234842642558
Russia,2020-05-01,-5.303844507216226,-9.269961241443397,-1.1671730314935207
Slovakia,2020-03-12,1.1859445111984472,0.8067615356564378,1.6087213123757789
Slovakia,2020-03-13,1.1791981979021122,0.7660376432837689,1.5680234571156773
Slovakia,2020-03-14,1.1682574418593892,0.80158889201812,1.5680121266598102
Slovakia,2020-03-15,1.159170060409364,0.8045992356315893,1.5515552036499551
Slovakia,2020-03-16,1.1525334186253382,0.7721524055869508,1.509204194416518
Slovakia,2020-03-17,1.1449762533450845,0.8280117038473203,1.5365299015558282
Slovakia,2020-03-18,1.1351358877133664,0.8215483258649054,1.5146032974420862
Slovakia,2020-03-19,1.1299433021999181,0.8216775930597163,1.4937395405660476
Slovakia,2020-03-20,1.1231476601811892,0.8167338788639648,1.453228161599071
Slovakia,2020-03-21,1.1201378312995018,0.7995707160127152,1.4299923023332601
Slovakia,2020-03-22,1.1135468773367867,0.8088162825376755,1.4255990093847994
Slovakia,2020-03-23,1.1091941314224762,0.8256113448767679,1.424543285134228
Slovakia,2020-03-24,1.1055310994694922,0.8159159891530966,1.417093004916135
Slovakia,2020-03-25,1.1008656463945214,0.7826468643978058,1.3934502122476355
Slovakia,2020-03-26,1.0938601519038083,0.805831031767453,1.3899406078637242
Slovakia,2020-03-27,1.091076759843918,0.8167658915198122,1.420607894466783
Slovakia,2020-03-28,1.0845012761934512,0.7496485867662155,1.3629069797865991
Slovakia,2020-03-29,1.07125272323059,0.7669623078321494,1.3865692797337594
Slovakia,2020-03-30,1.0611555721379138,0.7420555431169134,1.3707584920845841
Slovakia,2020-03-31,1.0474716349976532,0.7784345902032304,1.3962358678668132
Slovakia,2020-04-01,1.0340774207348804,0.7163357663665948,1.3112888633493198
Slovakia,2020-04-02,1.0237175370102147,0.6946570232922648,1.2870632063141592
Slovakia,2020-04-03,1.014651161722518,0.7217901676583492,1.2905318506190224
Slovakia,2020-04-04,1.001627456288693,0.719054826504933,1.2725845005465528
Slovakia,2020-04-05,0.9817221996819084,0.700319764931228,1.278069414613823
Slovakia,2020-04-06,0.9603848319006064,0.6480035742603518,1.2438410766155832
Slovakia,2020-04-07,0.9431606450542639,0.6492246386746905,1.2538911809047253
Slovakia,2020-04-08,0.9243258705711254,0.6244408930665145,1.2303418838199618
Slovakia,2020-04-09,0.9072389881238301,0.5664073595322154,1.1756119542327272
Slovakia,2020-04-10,0.882031486918508,0.5694332053427955,1.180754283265102
Slovakia,2020-04-11,0.8522121983773745,0.5148025427061867,1.146794266941789
Slovakia,2020-04-12,0.8204881690131506,0.4793278924285779,1.1400435315399642
Slovakia,2020-04-13,0.7797815579579747,0.4624815237211042,1.157613743982969
Slovakia,2020-04-14,0.7385117861219265,0.33728228113992287,1.080435090597356
Slovakia,2020-04-15,0.7057771780396167,0.2753447419943462,1.095554877139655
Slovakia,2020-04-16,0.6759409409588486,0.25556235095109414,1.1063606776473205
Slovakia,2020-04-17,0.6558285965016415,0.21591342666147462,1.108228539097455
Slovakia,2020-04-18,0.6292915348317158,0.12531396242419035,1.1058744168642607
Slovakia,2020-04-19,0.6075876533087871,0.09195684405791438,1.111892087884503
Slovakia,2020-04-20,0.5845292971950974,0.10295199925321086,1.1199773862029963
Slovakia,2020-04-21,0.5687606312263287,0.07253658224698678,1.164688222911247
Slovakia,2020-04-22,0.5583927608689196,-0.009821498561355835,1.1202421171111054
Slovakia,2020-04-23,0.5485505101934874,-0.02270577746473501,1.1534553447876932
Slovakia,2020-04-24,0.5538293076796545,-0.03643708577229865,1.1819577670742658
Slovakia,2020-04-25,0.545473317101384,-0.10153773429904556,1.1588064946794252
Slovakia,2020-04-26,0.5431557522543781,-0.10803868777044467,1.1842616910827308
Slovakia,2020-04-27,0.539072432001659,-0.19547751653888712,1.1579710645318004
Slovakia,2020-04-28,0.5404587845571481,-0.17994920740515985,1.208449606791313
Slovakia,2020-04-29,0.5421343259709616,-0.2259440824365151,1.1879107031119638
Slovakia,2020-04-30,0.5445792782665196,-0.2247934629071855,1.205849629517639
Slovakia,2020-05-01,0.5480858868649257,-0.20615450140387104,1.2984863036416643
Slovenia,2020-03-12,1.0368976616940353,0.7272446269656347,1.3401445544223074
Slovenia,2020-03-13,1.028522305332875,0.7351155758777536,1.3219474667543771
Slovenia,2020-03-14,1.019206221233311,0.7130390516763018,1.2765173089579014
Slovenia,2020-03-15,1.0129378966892006,0.7095606358329919,1.2601378041784415
Slovenia,2020-03-16,1.0089915889381191,0.7308822625380887,1.2741071308337775
Slovenia,2020-03-17,1.0009973117335857,0.7003789786220356,1.2355537724867824
Slovenia,2020-03-18,0.9893388070526213,0.7218958470642272,1.241661072331889
Slovenia,2020-03-19,0.9807217326483529,0.7009174742674231,1.2420638193735276
Slovenia,2020-03-20,0.9714990068091307,0.7019196434816426,1.2232042389379647
Slovenia,2020-03-21,0.9607264858748051,0.7143332436588714,1.2150885715206878
Slovenia,2020-03-22,0.9527317244002106,0.6846722091671882,1.171259226624488
Slovenia,2020-03-23,0.9392528256378448,0.6826454158802393,1.1564646370285763
Slovenia,2020-03-24,0.9277779253557258,0.7067938420378844,1.1827948331469715
Slovenia,2020-03-25,0.9149637925461968,0.6521866169024666,1.1446671308838485
Slovenia,2020-03-26,0.9034742391929026,0.6321042648887363,1.1248608730699283
Slovenia,2020-03-27,0.8963111410724162,0.6322829356453573,1.1393864006080239
Slovenia,2020-03-28,0.8913766177875136,0.642295708331541,1.136367625118019
Slovenia,2020-03-29,0.8855581734569089,0.626353062677891,1.1358446934619097
Slovenia,2020-03-30,0.8759907739062491,0.6055199109472996,1.1194752506672838
Slovenia,2020-03-31,0.8697635875763426,0.6194689824483269,1.1557701282096207
Slovenia,2020-04-01,0.8623401233290581,0.6222164446004093,1.1603313277876401
Slovenia,2020-04-02,0.855914011495823,0.5799428546643723,1.114969423149599
Slovenia,2020-04-03,0.8523331127528413,0.5743752676341524,1.119976205138293
Slovenia,2020-04-04,0.8500031905886775,0.5854798832230426,1.133035712164654
Slovenia,2020-04-05,0.8434597798747385,0.5578477919961182,1.1443633448240644
Slovenia,2020-04-06,0.8367392322026531,0.5497024607140542,1.1484655390816942
Slovenia,2020-04-07,0.8289162711747559,0.5138511330894731,1.1343564402834507
Slovenia,2020-04-08,0.8244141152334621,0.5167984809055276,1.1398601304998757
Slovenia,2020-04-09,0.8204800654791395,0.5187720574061373,1.135018782359736
Slovenia,2020-04-10,0.8156933114169681,0.49236029793274483,1.1283298442517093
Slovenia,2020-04-11,0.8129338312108152,0.46941980052085364,1.113302321535457
Slovenia,2020-04-12,0.8082818693281802,0.4518444498752605,1.1304165976170044
Slovenia,2020-04-13,0.8035408689056932,0.4454792015322716,1.1363905118975532
Slovenia,2020-04-14,0.7984196432734926,0.4416303750542552,1.1508461700781534
Slovenia,2020-04-15,0.7913004019948898,0.42391915395369595,1.1315802657190648
Slovenia,2020-04-16,0.7888194170263643,0.41030088802217757,1.1283741007371801
Slovenia,2020-04-17,0.7883239845880634,0.4145620636787777,1.163106537918795
Slovenia,2020-04-18,0.7841107727898455,0.37301061528807133,1.1478444850173206
Slovenia,2020-04-19,0.7790306827850141,0.36121748580757607,1.153844827712531
Slovenia,2020-04-20,0.7782638435789586,0.31379640726177127,1.1173453424222752
Slovenia,2020-04-21,0.7743056844737456,0.3026945994239909,1.1433909584195237
Slovenia,2020-04-22,0.7718027241111137,0.2714530341147212,1.1457131280576385
Slovenia,2020-04-23,0.7666462710347378,0.2770218397922769,1.147984113520798
Slovenia,2020-04-24,0.7608944959274845,0.2598102093235455,1.1834459716056505
Slovenia,2020-04-25,0.7573258243459385,0.2061472475876055,1.1667412961552648
Slovenia,2020-04-26,0.7548564277471375,0.26651582123944406,1.2053119173304967
Slovenia,2020-04-27,0.7531416512464915,0.1624242578518822,1.1636885599985964
Slovenia,2020-04-28,0.7482774444401936,0.19049921614844822,1.209691087311866
Slovenia,2020-04-29,0.7450548416866533,0.13209965315145478,1.1889147338909014
Slovenia,2020-04-30,0.7433007539840732,0.19696624900652082,1.251005007138279
Slovenia,2020-05-01,0.7438946235128557,0.12661474039554288,1.2138215826508807
Spain,2020-03-12,1.4085155228213095,1.1294183649980594,1.6506284299395932
Spain,2020-03-13,1.383613639410725,1.1318664984773026,1.6129121894730067
Spain,2020-03-14,1.369629980333255,1.126847919176582,1.5943502524601887
Spain,2020-03-15,1.343796731720351,1.1276409241706837,1.5675622315008353
Spain,2020-03-16,1.323255929967342,1.1121369476037206,1.5136188066361083
Spain,2020-03-17,1.255928454061858,1.0936358761541796,1.426947561278896
Spain,2020-03-18,1.2260315901392647,1.0816209070646818,1.3784871954933615
Spain,2020-03-19,1.1783357853512433,1.0452740981561783,1.2867255429559414
Spain,2020-03-20,1.1389362020440066,1.031928485292567,1.2413282692860215
Spain,2020-03-21,1.1023866990686149,1.01561318134462,1.1836129100337742
Spain,2020-03-22,1.0796929223308245,1.0079385694385548,1.1565747926557255
Spain,2020-03-23,1.022628333705939,0.9453279318627045,1.0942946275299799
Spain,2020-03-24,0.9466104401143638,0.872890236219667,1.017172315367632
Spain,2020-03-25,0.9123080551586027,0.8256182844673384,0.9890991712603906
Spain,2020-03-26,0.8856275594934022,0.7929296079374497,0.9774501102107991
Spain,2020-03-27,0.861818096166287,0.7653934848302497,0.9644528412617863
Spain,2020-03-28,0.860669571941296,0.759151983405316,0.9641931516871824
Spain,2020-03-29,0.8650267459360165,0.7638503708036932,0.9627045198674629
Spain,2020-03-30,0.8450085196279062,0.7221556906617705,0.951293267556628
Spain,2020-03-31,0.7847673025970123,0.6516840441658807,0.9435001356465448
Spain,2020-04-01,0.7767989368184329,0.6390615775722546,0.93120393500289
Spain,2020-04-02,0.7879140792747528,0.6602355319962742,0.9410467890365739
Spain,2020-04-03,0.7887709014790285,0.6499544811611653,0.9383242240714302
Spain,2020-04-04,0.7985150446721296,0.6672143164760567,0.9430609503790485
Spain,2020-04-05,0.8269661381323705,0.719376889134003,0.9578300253293024
Spain,2020-04-06,0.8458847633741067,0.739277462279122,0.9730928482963941
Spain,2020-04-07,0.8191950642235865,0.7022285021139094,0.9496858297238796
Spain,2020-04-08,0.7874424753128,0.648448133426149,0.9372052092227647
Spain,2020-04-09,0.7838639546354814,0.6429884567954292,0.9256080785986378
Spain,2020-04-10,0.789845061634923,0.6470482531933851,0.9312997618188613
Spain,2020-04-11,0.7964635713295131,0.6608699974377585,0.9338433433413003
Spain,2020-04-12,0.7767245391760527,0.6254503542743336,0.9350272298271904
Spain,2020-04-13,0.7616264535354901,0.607708664290192,0.9326446912243201
Spain,2020-04-14,0.7145712843832327,0.5263506406741818,0.9044829015310384
Spain,2020-04-15,0.6688359848671537,0.45430150652136947,0.8802655459372576
